Wavelength	k_Cardona	
201.68111	0.52591
201.66471	0.52696
201.64831	0.528
201.63192	0.52906
201.6152	0.53011
201.59881	0.53117
201.58242	0.53222
201.56604	0.53329
201.54966	0.53435
201.53328	0.53541
201.5169	0.53648
201.50053	0.53755
201.48416	0.53863
201.46779	0.53971
201.45143	0.54079
201.43506	0.54188
201.4187	0.54298
201.40235	0.54409
201.38599	0.5452
201.36964	0.54632
201.35329	0.54745
201.33694	0.54858
201.3206	0.54972
201.30426	0.55086
201.28792	0.55201
201.27158	0.55317
201.25525	0.55434
201.23892	0.55551
201.22259	0.55669
201.20626	0.55787
201.18994	0.55905
201.17362	0.56023
201.1573	0.56142
201.14099	0.5626
201.12468	0.56379
201.10837	0.56498
201.09206	0.56618
201.07576	0.56737
201.05945	0.56857
201.04315	0.56977
201.02686	0.57098
201.01056	0.57219
200.99427	0.57341
200.97798	0.57464
200.96137	0.57588
200.94509	0.57713
200.92881	0.57838
200.91253	0.57964
200.89626	0.58091
200.87998	0.58219
200.86371	0.58347
200.84745	0.58477
200.83118	0.58607
200.81492	0.58738
200.79866	0.5887
200.7824	0.59002
200.76615	0.59136
200.7499	0.59272
200.73365	0.59408
200.7174	0.59545
200.70116	0.59683
200.68492	0.59821
200.66868	0.59961
200.65244	0.60102
200.63621	0.60243
200.61998	0.60386
200.60375	0.6053
200.58753	0.60674
200.5713	0.60819
200.55508	0.60966
200.53887	0.61113
200.52265	0.61261
200.50644	0.6141
200.49023	0.6156
200.47402	0.61711
200.45782	0.61863
200.44162	0.62016
200.42542	0.6217
200.40922	0.62325
200.39303	0.62481
200.37684	0.62637
200.36065	0.62795
200.34446	0.62954
200.32828	0.63114
200.31178	0.63276
200.2956	0.63439
200.27942	0.63602
200.26325	0.63767
200.24708	0.63932
200.23091	0.64099
200.21475	0.64266
200.19858	0.64435
200.18242	0.64604
200.16627	0.64774
200.15011	0.64945
200.13396	0.65117
200.11781	0.6529
200.10166	0.65464
200.08552	0.65639
