Wavelenght	Refractive Index
275.3333333	3.209356862
275.5	3.209156636
275.6666667	3.208960914
275.8333333	3.208769109
276	3.208580635
276.1666667	3.208394905
276.3333333	3.208211331
276.5	3.208029328
276.6666667	3.207848307
276.8333333	3.207667582
277	3.207486233
277.1666667	3.207303647
277.3333333	3.207119239
277.5	3.206932422
277.6666667	3.206742611
277.8333333	3.206549217
278	3.206351656
278.1666667	3.206149338
278.3333333	3.205941678
278.5	3.205728086
278.6666667	3.205507975
278.8333333	3.205280757
279	3.205045842
279.1666667	3.204802641
279.3333333	3.204550566
279.5	3.204289025
279.6666667	3.204017429
279.8333333	3.203735187
280	3.203441708
280.1666667	3.203136399
280.3333333	3.20281867
280.5	3.202487928
280.6666667	3.202143579
280.8333333	3.20178503
281	3.201411687
281.1666667	3.201022915
281.3333333	3.200612096
281.5	3.200175194
281.6666667	3.199712847
281.8333333	3.199225691
282	3.198714363
282.1666667	3.198179501
282.3333333	3.19762174
282.5	3.197041717
282.6666667	3.196440069
282.8333333	3.195817432
283	3.195174443
283.1666667	3.194511739
283.3333333	3.193829957
283.5	3.193129733
283.6666667	3.192411705
283.8333333	3.191676511
284	3.19092479
284.1666667	3.190157179
284.3333333	3.189374319
284.5	3.188576847
284.6666667	3.187765405
284.8333333	3.186940632
285	3.186103171
285.1666667	3.185253662
285.3333333	3.184392749
285.5	3.183521074
285.6666667	3.182639282
285.8333333	3.181748018
286	3.180847926
286.1666667	3.179939654
286.3333333	3.179024126
286.5	3.178102431
286.6666667	3.177175186
286.8333333	3.176243003
287	3.175306497
287.1666667	3.174366285
287.3333333	3.173422985
287.5	3.172477217
287.6666667	3.171529604
287.8333333	3.170580766
288	3.169631329
288.1666667	3.168681916
288.3333333	3.167733152
288.5	3.166785663
288.6666667	3.165840074
288.8333333	3.164897013
289	3.163957103
289.1666667	3.163020972
289.3333333	3.162089245
289.5	3.161162547
289.6666667	3.160241503
289.8333333	3.159326737
290	3.15841842
290.1666667	3.157500807
290.3333333	3.156566255
290.5	3.155615296
290.6666667	3.154648466
290.8333333	3.153666294
291	3.152669313
291.1666667	3.151658051
291.3333333	3.150633037
291.5	3.149594797
291.6666667	3.148543857
291.8333333	3.147480743
292	3.146405977
292.1666667	3.145320083
292.3333333	3.144223582
292.5	3.143116994
292.6666667	3.142000839
292.8333333	3.140875637
293	3.139741905
293.1666667	3.138600163
293.3333333	3.137450926
293.5	3.136294712
293.6666667	3.135132039
293.8333333	3.133963423
294	3.13278938
294.1666667	3.131610429
294.3333333	3.130427087
294.5	3.129239873
294.6666667	3.128049306
294.8333333	3.126855905
295	3.125660193
295.1666667	3.124462693
295.3333333	3.123263929
295.5	3.122064429
295.6666667	3.12086472
295.8333333	3.119665336
296	3.118467255
296.1666667	3.117271455
296.3333333	3.116078556
296.5	3.114889178
296.6666667	3.113703946
296.8333333	3.112523482
297	3.111348414
297.1666667	3.110179367
297.3333333	3.109016969
297.5	3.107861851
297.6666667	3.106714642
297.8333333	3.105575973
298	3.104446478
298.1666667	3.103326789
298.3333333	3.102217541
298.5	3.101119368
298.6666667	3.100032907
298.8333333	3.098958794
299	3.097897667
299.1666667	3.096850163
299.3333333	3.095816921
299.5	3.094798579
299.6666667	3.093795777
299.8333333	3.092809155
300	3.091839353
300.1666667	3.090887011
300.3333333	3.08995277
300.5	3.089037271
300.6666667	3.088141154
300.8333333	3.087265061
301	3.086407534
301.1666667	3.085561353
301.3333333	3.084725627
301.5	3.083900102
301.6666667	3.083084526
301.8333333	3.082278642
302	3.081482197
302.1666667	3.080694933
302.3333333	3.079916594
302.5	3.079146923
302.6666667	3.078385662
302.8333333	3.077632551
303	3.076887332
303.1666667	3.076149744
303.3333333	3.075419527
303.5	3.07469642
303.6666667	3.073980161
303.8333333	3.073270489
304	3.072567139
304.1666667	3.071869593
304.3333333	3.071177212
304.5	3.070489727
304.6666667	3.069806874
304.8333333	3.069128389
305	3.068454007
305.1666667	3.067783462
305.3333333	3.067116487
305.5	3.066452818
305.6666667	3.065792186
305.8333333	3.065134324
306	3.064478965
306.1666667	3.06382584
306.3333333	3.063174681
306.5	3.062525217
306.6666667	3.06187718
306.8333333	3.061230298
307	3.060584302
307.1666667	3.059938919
307.3333333	3.059293878
307.5	3.058648907
307.6666667	3.058003733
307.8333333	3.057358082
308	3.056711681
308.1666667	3.056064256
308.3333333	3.055415531
308.5	3.054765232
308.6666667	3.054113082
308.8333333	3.053458806
309	3.052802126
309.1666667	3.052142767
309.3333333	3.05148045
309.5	3.050814898
309.6666667	3.050145832
309.8333333	3.049472973
310	3.048796044
310.1666667	3.048114763
310.3333333	3.047428852
310.5	3.04673803
310.6666667	3.046042018
310.8333333	3.045340534
311	3.044633298
311.1666667	3.043920028
311.3333333	3.043200444
311.5	3.042474263
311.6666667	3.041739611
311.8333333	3.040990391
312	3.0402267
312.1666667	3.039449298
312.3333333	3.038658947
312.5	3.037856409
312.6666667	3.037042449
312.8333333	3.036217609
313	3.035382383
313.1666667	3.034537523
313.3333333	3.033683782
313.5	3.032821913
313.6666667	3.03195267
313.8333333	3.031076808
314	3.030195084
314.1666667	3.029308254
314.3333333	3.028417075
314.5	3.027522305
314.6666667	3.026624705
314.8333333	3.025725034
315	3.024824053
315.1666667	3.023922525
315.3333333	3.023021212
