Wavelength	n_Cardona	
208.57092	2.42447
208.55338	2.42486
208.53584	2.42525
208.51831	2.42565
208.50078	2.42607
208.48325	2.42649
208.46573	2.42693
208.4482	2.42736
208.43069	2.4278
208.41317	2.42823
208.39531	2.42867
208.3778	2.42911
208.36029	2.42955
208.34278	2.42999
208.32528	2.43043
208.30778	2.43087
208.29029	2.43131
208.2728	2.43176
208.25531	2.4322
208.23782	2.43265
208.22034	2.43309
208.20286	2.43354
208.18538	2.43399
208.1679	2.43444
208.15043	2.43488
208.13296	2.43533
208.1155	2.43578
208.09803	2.43623
208.08057	2.43668
208.06312	2.43713
208.04566	2.43758
208.02821	2.43803
208.01076	2.43848
207.99332	2.43893
207.97587	2.43938
207.95844	2.43983
207.941	2.44029
207.92356	2.44074
207.90613	2.4412
207.88871	2.44166
207.87128	2.44212
207.85386	2.44259
207.83644	2.44306
207.81902	2.44352
207.80161	2.444
207.7842	2.44447
207.76679	2.44494
207.74939	2.44542
207.73199	2.4459
207.71459	2.44638
207.69684	2.44686
207.67945	2.44734
207.66206	2.44783
207.64467	2.44832
207.62729	2.44881
207.60991	2.4493
207.59253	2.44979
207.57515	2.45029
207.55778	2.45078
207.54041	2.45128
207.52305	2.45178
207.50568	2.45229
207.48832	2.45279
207.47096	2.4533
207.45361	2.45381
207.43626	2.45432
207.41891	2.45483
207.40156	2.45534
207.38422	2.45586
207.36688	2.45638
207.34954	2.45689
207.3322	2.45741
207.31487	2.45794
207.29754	2.45846
207.28022	2.45899
207.26289	2.45952
207.24557	2.46004
207.22826	2.46058
207.21094	2.46111
207.19363	2.46164
207.17632	2.46218
207.15901	2.46271
207.14171	2.46324
207.12441	2.46378
207.10711	2.46431
207.08982	2.46484
207.07253	2.46538
207.05524	2.46591
207.03795	2.46644
207.02067	2.46698
207.00305	2.46751
206.98577	2.46804
206.9685	2.46858
206.95122	2.46911
206.93396	2.46964
206.91669	2.47017
206.89943	2.47071
206.88217	2.47124
206.86491	2.47177
206.84766	2.4723
206.83041	2.47284
206.81316	2.47337
206.79591	2.4739
206.77867	2.47443
206.76143	2.47497
206.7442	2.47552
206.72696	2.47607
206.70973	2.47663
206.6925	2.4772
206.67528	2.47777
206.65806	2.47835
206.64084	2.47895
206.62362	2.47954
206.60641	2.48015
206.5892	2.48076
206.57199	2.48138
206.55478	2.48201
206.53758	2.48265
206.52038	2.48329
206.50318	2.48394
206.48599	2.4846
206.4688	2.48527
206.45161	2.48594
206.43443	2.48662
206.41725	2.48731
206.40007	2.488
206.38289	2.48871
206.36572	2.48942
206.34855	2.49014
206.33138	2.49086
206.31387	2.4916
206.29671	2.49234
206.27955	2.49309
206.26239	2.49384
206.24524	2.4946
206.22809	2.49538
206.21094	2.49615
206.1938	2.49694
206.17665	2.49773
206.15951	2.49853
206.14238	2.49934
206.12524	2.50016
206.10811	2.50098
206.09099	2.50181
206.07386	2.50265
206.05674	2.50349
206.03962	2.50434
206.0225	2.5052
206.00539	2.50607
205.98828	2.50694
205.97117	2.50781
205.95407	2.50867
205.93696	2.50954
205.91986	2.51041
205.90277	2.51128
205.88567	2.51214
205.86858	2.51301
205.85149	2.51388
205.83441	2.51475
205.81733	2.51561
205.80025	2.51648
205.78317	2.51735
205.7661	2.51821
205.74903	2.51908
205.73196	2.51995
205.71489	2.52082
205.69783	2.5217
205.68077	2.52257
205.66371	2.52345
205.64666	2.52433
205.62927	2.52521
205.61222	2.52609
205.59517	2.52697
205.57813	2.52786
205.56109	2.52874
205.54405	2.52963
205.52702	2.53052
205.50999	2.53141
205.49296	2.5323
205.47593	2.53319
205.45891	2.53409
205.44189	2.53499
205.42487	2.53588
205.40786	2.53678
205.39085	2.53768
205.37384	2.53858
205.35683	2.53949
205.33983	2.54039
205.32283	2.5413
205.30583	2.54221
205.28884	2.54312
205.27184	2.54403
205.25486	2.54494
205.23787	2.54585
205.22089	2.54677
205.2039	2.54769
205.18693	2.5486
205.16995	2.54952
205.15298	2.55044
205.13601	2.55137
205.11904	2.55229
205.10208	2.55322
205.08512	2.55414
205.06816	2.55507
205.0512	2.556
205.03425	2.55692
205.0173	2.55784
205.00036	2.55877
204.98341	2.55968
204.96647	2.56059
204.94919	2.5615
204.93226	2.56241
204.91532	2.56331
204.89839	2.5642
204.88147	2.5651
204.86454	2.56599
204.84762	2.56687
204.8307	2.56776
204.81378	2.56863
204.79687	2.56951
204.77996	2.57038
204.76305	2.57125
204.74615	2.57211
204.72925	2.57297
204.71235	2.57383
204.69545	2.57468
204.67856	2.57553
204.66166	2.57637
204.64478	2.57722
204.62789	2.57805
204.61101	2.57889
204.59413	2.57972
204.57725	2.58055
204.56038	2.58137
204.54351	2.58219
204.52664	2.583
204.50977	2.58382
204.49291	2.58462
204.47605	2.58543
204.45919	2.58623
204.44233	2.58703
204.42548	2.58782
204.40863	2.58861
204.39179	2.5894
204.37494	2.59018
204.3581	2.59096
204.34126	2.59174
204.32443	2.59251
204.30759	2.59328
204.29077	2.59405
204.2736	2.59482
204.25678	2.59559
204.23996	2.59636
204.22314	2.59713
204.20632	2.5979
204.18951	2.59867
204.1727	2.59944
204.15589	2.60021
204.13908	2.60098
204.12228	2.60175
204.10548	2.60252
204.08869	2.60329
204.07189	2.60407
204.0551	2.60484
204.03831	2.60561
204.02153	2.60639
204.00474	2.60716
203.98796	2.60793
203.97119	2.60871
203.95441	2.60948
203.93764	2.61026
203.92087	2.61103
203.90411	2.61181
203.88734	2.61258
203.87058	2.61336
203.85382	2.61413
203.83707	2.61491
203.82032	2.61569
203.80357	2.61646
203.78682	2.61724
203.77008	2.61802
203.75333	2.6188
203.73659	2.61958
203.71986	2.62035
203.70313	2.62113
203.6864	2.62191
203.66967	2.62269
203.65294	2.62347
203.63622	2.62425
203.6195	2.62503
203.60245	2.62581
203.58574	2.6266
203.56902	2.62739
203.55232	2.62818
203.53561	2.62897
203.51891	2.62977
203.50221	2.63057
203.48551	2.63137
203.46882	2.63217
203.45212	2.63298
203.43543	2.63378
203.41875	2.63459
203.40206	2.63541
203.38538	2.63622
203.3687	2.63704
203.35203	2.63786
203.33536	2.63868
203.31869	2.6395
203.30202	2.64033
203.28535	2.64116
203.26869	2.64199
203.25203	2.64282
203.23538	2.64366
203.21872	2.64449
203.20207	2.64534
203.18542	2.64618
203.16878	2.64702
203.15213	2.64787
203.13549	2.64872
203.11886	2.64957
203.10222	2.65043
203.08559	2.65128
203.06896	2.65214
203.05234	2.653
203.03571	2.65387
203.01909	2.65473
203.00247	2.6556
202.98586	2.65647
202.96924	2.65734
202.95263	2.65822
202.93569	2.65909
202.91909	2.65997
202.90249	2.66086
202.88589	2.66174
202.86929	2.66262
202.8527	2.66351
202.83611	2.66439
202.81952	2.66528
202.80293	2.66617
202.78635	2.66705
202.76977	2.66793
202.75319	2.66882
202.73662	2.6697
202.72005	2.67059
202.70348	2.67147
202.68691	2.67235
202.67035	2.67323
202.65378	2.67412
202.63723	2.67501
202.62067	2.6759
202.60412	2.67679
202.58757	2.67769
202.57102	2.67859
202.55447	2.67949
202.53793	2.6804
202.52139	2.6813
202.50485	2.68222
202.48832	2.68313
202.47179	2.68404
202.45526	2.68496
202.43873	2.68589
202.42221	2.68681
202.40569	2.68774
202.38917	2.68867
202.37266	2.6896
202.35614	2.69054
202.33963	2.69147
202.32313	2.69241
202.30662	2.69336
202.29012	2.6943
202.27329	2.69525
202.25679	2.69621
202.2403	2.69716
202.22381	2.69812
202.20732	2.69908
202.19084	2.70005
202.17435	2.70103
202.15787	2.70201
202.14139	2.70301
202.12492	2.70402
202.10845	2.70504
202.09198	2.70607
202.07551	2.70711
202.05905	2.70816
202.04259	2.70922
202.02613	2.71029
202.00967	2.71137
201.99322	2.71246
201.97677	2.71356
201.96032	2.71468
201.94387	2.7158
201.92743	2.71693
201.91099	2.71808
201.89455	2.71923
201.87812	2.72039
201.86169	2.72156
201.84526	2.72273
201.82883	2.72391
201.81241	2.72511
201.79598	2.7263
201.77957	2.72751
201.76315	2.72873
201.74674	2.72995
201.73033	2.73118
201.71392	2.73242
201.69751	2.73367
201.68111	2.73493
201.66471	2.73619
201.64831	2.73747
201.63192	2.73875
201.6152	2.74003
201.59881	2.74133
201.58242	2.74263
201.56604	2.74394
201.54966	2.74526
201.53328	2.74659
201.5169	2.74793
201.50053	2.74927
201.48416	2.75062
201.46779	2.75195
201.45143	2.75328
201.43506	2.7546
201.4187	2.7559
201.40235	2.75718
201.38599	2.75845
201.36964	2.75971
201.35329	2.76095
201.33694	2.76218
201.3206	2.7634
201.30426	2.7646
201.28792	2.76579
201.27158	2.76696
201.25525	2.76812
201.23892	2.76926
201.22259	2.77039
201.20626	2.77151
201.18994	2.77261
201.17362	2.7737
201.1573	2.77477
201.14099	2.77583
201.12468	2.77687
201.10837	2.7779
201.09206	2.77891
201.07576	2.77991
201.05945	2.78089
201.04315	2.78186
201.02686	2.78282
201.01056	2.78376
200.99427	2.78469
200.97798	2.78561
200.96137	2.78651
200.94509	2.7874
200.92881	2.78828
200.91253	2.78914
200.89626	2.78999
200.87998	2.79083
200.86371	2.79165
200.84745	2.79246
200.83118	2.79326
200.81492	2.79404
200.79866	2.79481
200.7824	2.79556
200.76615	2.79627
200.7499	2.79695
200.73365	2.79762
200.7174	2.79827
200.70116	2.7989
200.68492	2.79951
200.66868	2.80011
200.65244	2.80068
200.63621	2.80124
200.61998	2.80178
200.60375	2.8023
200.58753	2.8028
200.5713	2.80329
200.55508	2.80376
200.53887	2.8042
200.52265	2.80464
200.50644	2.80505
200.49023	2.80544
200.47402	2.80582
200.45782	2.80618
200.44162	2.80652
200.42542	2.80685
200.40922	2.80715
200.39303	2.80744
200.37684	2.80771
200.36065	2.80796
200.34446	2.8082
200.32828	2.80841
200.31178	2.80862
200.2956	2.8088
200.27942	2.80897
200.26325	2.80912
200.24708	2.80925
200.23091	2.80936
200.21475	2.80946
200.19858	2.80954
200.18242	2.8096
200.16627	2.80964
200.15011	2.80967
200.13396	2.80968
200.11781	2.80967
200.10166	2.80964
200.08552	2.8096
