Wavelength(nm)	n	k
8.120000e+02	2.095138	0.000000
8.130000e+02	2.095091	0.000000
8.140000e+02	2.095043	0.000000
8.150000e+02	2.094996	0.000000
8.160000e+02	2.094950	0.000000
8.170000e+02	2.094903	0.000000
8.180000e+02	2.094857	0.000000
8.190000e+02	2.094810	0.000000
8.200000e+02	2.094764	0.000000
8.210000e+02	2.094718	0.000000
8.220000e+02	2.094673	0.000000
8.230000e+02	2.094627	0.000000
8.240000e+02	2.094582	0.000000
8.250000e+02	2.094536	0.000000
8.260000e+02	2.094491	0.000000
8.270000e+02	2.094446	0.000000
8.280000e+02	2.094402	0.000000
8.290000e+02	2.094357	0.000000
8.300000e+02	2.094313	0.000000
8.310000e+02	2.094269	0.000000
8.320000e+02	2.094224	0.000000
8.330000e+02	2.094181	0.000000
8.340000e+02	2.094137	0.000000
8.350000e+02	2.094093	0.000000
8.360000e+02	2.094050	0.000000
8.370000e+02	2.094007	0.000000
8.380000e+02	2.093964	0.000000
8.390000e+02	2.093921	0.000000
8.400000e+02	2.093878	0.000000
8.410000e+02	2.093835	0.000000
8.420000e+02	2.093793	0.000000
8.430000e+02	2.093750	0.000000
8.440000e+02	2.093708	0.000000
8.450000e+02	2.093666	0.000000
8.460000e+02	2.093625	0.000000
8.470000e+02	2.093583	0.000000
8.480000e+02	2.093541	0.000000
8.490000e+02	2.093500	0.000000
8.500000e+02	2.093459	0.000000
8.510000e+02	2.093418	0.000000
8.520000e+02	2.093377	0.000000
8.530000e+02	2.093336	0.000000
8.540000e+02	2.093295	0.000000
8.550000e+02	2.093255	0.000000
8.560000e+02	2.093214	0.000000
8.570000e+02	2.093174	0.000000
8.580000e+02	2.093134	0.000000
8.590000e+02	2.093094	0.000000
8.600000e+02	2.093055	0.000000
8.610000e+02	2.093015	0.000000
8.620000e+02	2.092976	0.000000
8.630000e+02	2.092936	0.000000
8.640000e+02	2.092897	0.000000
8.650000e+02	2.092858	0.000000
8.660000e+02	2.092819	0.000000
8.670000e+02	2.092780	0.000000
8.680000e+02	2.092742	0.000000
8.690000e+02	2.092703	0.000000
8.700000e+02	2.092665	0.000000
8.710000e+02	2.092627	0.000000
8.720000e+02	2.092588	0.000000
8.730000e+02	2.092551	0.000000
8.740000e+02	2.092513	0.000000
8.750000e+02	2.092475	0.000000
8.760000e+02	2.092438	0.000000
8.770000e+02	2.092400	0.000000
8.780000e+02	2.092363	0.000000
8.790000e+02	2.092326	0.000000
8.800000e+02	2.092289	0.000000
8.810000e+02	2.092252	0.000000
8.820000e+02	2.092215	0.000000
8.830000e+02	2.092178	0.000000
8.840000e+02	2.092142	0.000000
8.850000e+02	2.092105	0.000000
8.860000e+02	2.092069	0.000000
8.870000e+02	2.092033	0.000000
8.880000e+02	2.091997	0.000000
8.890000e+02	2.091961	0.000000
8.900000e+02	2.091925	0.000000
8.910000e+02	2.091890	0.000000
8.920000e+02	2.091854	0.000000
8.930000e+02	2.091819	0.000000
8.940000e+02	2.091784	0.000000
8.950000e+02	2.091749	0.000000
8.960000e+02	2.091714	0.000000
8.970000e+02	2.091679	0.000000
8.980000e+02	2.091644	0.000000
8.990000e+02	2.091609	0.000000
9.000000e+02	2.091575	0.000000
9.010000e+02	2.091540	0.000000
9.020000e+02	2.091506	0.000000
9.030000e+02	2.091472	0.000000
9.040000e+02	2.091438	0.000000
9.050000e+02	2.091404	0.000000
9.060000e+02	2.091370	0.000000
9.070000e+02	2.091336	0.000000
9.080000e+02	2.091303	0.000000
9.090000e+02	2.091269	0.000000
9.100000e+02	2.091236	0.000000
9.110000e+02	2.091202	0.000000
9.120000e+02	2.091169	0.000000
9.130000e+02	2.091136	0.000000
9.140000e+02	2.091103	0.000000
9.150000e+02	2.091071	0.000000
9.160000e+02	2.091038	0.000000
9.170000e+02	2.091005	0.000000
9.180000e+02	2.090973	0.000000
9.190000e+02	2.090940	0.000000
9.200000e+02	2.090908	0.000000
9.210000e+02	2.090876	0.000000
9.220000e+02	2.090844	0.000000
