Wavelength(nm)	R_simulated	R_experimental
3.595000e+02	0.399256	0.105540
3.597500e+02	0.403864	0.106840
3.600000e+02	0.408418	0.108320
3.602500e+02	0.412915	0.110070
3.605000e+02	0.417352	0.111370
3.607500e+02	0.421728	0.112420
3.610000e+02	0.426042	0.113740
3.612500e+02	0.430290	0.115330
3.615000e+02	0.434470	0.116910
3.617500e+02	0.438583	0.118480
3.620000e+02	0.442624	0.120080
3.622500e+02	0.446593	0.121150
3.625000e+02	0.450488	0.122370
3.627500e+02	0.454309	0.124100
3.630000e+02	0.458053	0.125520
3.632500e+02	0.461720	0.126530
3.635000e+02	0.465306	0.128070
3.637500e+02	0.468811	0.129710
3.640000e+02	0.472236	0.130960
3.642500e+02	0.475578	0.132240
3.645000e+02	0.478839	0.133720
3.647500e+02	0.482017	0.134890
3.650000e+02	0.485109	0.135920
3.652500e+02	0.488116	0.137090
3.655000e+02	0.491040	0.138110
3.657500e+02	0.493878	0.139390
3.660000e+02	0.496630	0.140680
3.662500e+02	0.499299	0.141690
3.665000e+02	0.501883	0.142630
3.667500e+02	0.504379	0.143830
3.670000e+02	0.506791	0.145010
3.672500e+02	0.509121	0.146070
3.675000e+02	0.511362	0.147250
3.677500e+02	0.513519	0.148150
3.680000e+02	0.515596	0.149010
3.682500e+02	0.517588	0.150070
3.685000e+02	0.519493	0.151200
3.687500e+02	0.521321	0.152160
3.690000e+02	0.523070	0.153000
3.692500e+02	0.524731	0.153890
3.695000e+02	0.526314	0.154790
3.697500e+02	0.527825	0.155600
3.700000e+02	0.529252	0.156470
3.702500e+02	0.530595	0.157150
3.705000e+02	0.531875	0.157910
3.707500e+02	0.533078	0.158780
3.710000e+02	0.534191	0.159830
3.712500e+02	0.535249	0.160830
3.715000e+02	0.536245	0.161440
3.717500e+02	0.537142	0.161990
3.720000e+02	0.537941	0.162790
3.722500e+02	0.538702	0.163330
3.725000e+02	0.539424	0.163760
3.727500e+02	0.540098	0.164280
3.730000e+02	0.540673	0.164820
3.732500e+02	0.541166	0.165550
3.735000e+02	0.541619	0.166110
3.737500e+02	0.542023	0.166590
3.740000e+02	0.542346	0.167090
3.742500e+02	0.542613	0.167620
3.745000e+02	0.542841	0.168010
3.747500e+02	0.543005	0.168450
