Energía	OFF	ON	Delta R/R
6.30081	0.07511	0.07818	1.06764
6.29761	0.07618	0.07917	0.92844
6.29442	0.07708	0.08003	0.83064
6.29122	0.07835	0.0814	0.88889
6.28803	0.0789	0.0819	0.81142
6.28485	0.07946	0.08253	0.86144
6.28166	0.07954	0.08243	0.64895
6.27848	0.07931	0.08238	0.87561
6.2753	0.07965	0.0826	0.70858
6.27213	0.08063	0.08362	0.7152
6.26896	0.08234	0.0855	0.83842
6.26579	0.08366	0.08683	0.79074
6.26263	0.08541	0.08851	0.63909
6.25946	0.08649	0.08974	0.76091
6.25631	0.08841	0.09164	0.65932
6.25315	0.08915	0.09258	0.83631
6.25	0.09093	0.09433	0.74119
6.24685	0.09194	0.09529	0.65584
6.24371	0.09289	0.09631	0.69191
6.24056	0.09423	0.09766	0.65708
6.23742	0.09499	0.09845	0.65657
6.23429	0.09632	0.09996	0.78217
6.23116	0.09738	0.1009	0.63008
6.22803	0.09892	0.10248	0.6148
6.2249	0.09965	0.10319	0.56402
6.22178	0.10147	0.10519	0.67938
6.21866	0.10288	0.10642	0.46907
6.21554	0.10388	0.10756	0.5638
6.21242	0.10545	0.10923	0.59919
6.20931	0.10651	0.11032	0.58785
6.20621	0.10792	0.11168	0.50812
6.2031	0.10883	0.11266	0.53711
6.2	0.11036	0.11425	0.54378
6.1969	0.11099	0.11488	0.52261
6.19381	0.11271	0.11673	0.58268
6.19071	0.11416	0.11801	0.39689
6.18762	0.11599	0.11991	0.41312
6.18454	0.11827	0.12226	0.40848
6.18146	0.12001	0.12404	0.38463
6.17838	0.12262	0.12662	0.29578
6.1753	0.12446	0.12837	0.18407
6.17222	0.12734	0.13151	0.31151
6.16915	0.12845	0.13257	0.25198
6.16609	0.13161	0.13572	0.16811
6.16302	0.13323	0.13728	0.09141
6.15996	0.13472	0.13878	0.07209
6.1569	0.13672	0.14081	0.04464
6.15385	0.13807	0.14235	0.14986
6.15079	0.13984	0.14397	0.00681
6.14774	0.14104	0.14528	0.06096
6.1447	0.1433	0.14738	-0.09554
6.14165	0.1441	0.14833	-0.00855
6.13861	0.14657	0.15061	-0.18227
6.13558	0.14805	0.15211	-0.18743
6.13254	0.1497	0.15382	-0.18251
6.12951	0.15173	0.15573	-0.28869
6.12648	0.15298	0.15693	-0.33862
6.12346	0.15488	0.15893	-0.31234
6.12043	0.15614	0.1601	-0.38527
6.11741	0.15804	0.16212	-0.34066
6.1144	0.15883	0.16286	-0.38306
6.11138	0.16073	0.16488	-0.34245
6.10837	0.16172	0.16594	-0.31702
6.10537	0.16297	0.16712	-0.3748
6.10236	0.16369	0.16805	-0.26814
6.09936	0.16403	0.16867	-0.10905
6.09636	0.16457	0.16917	-0.13917
6.09337	0.16451	0.1692	-0.08334
6.09037	0.16395	0.16888	0.05935
