Energy (eV),n (Simulated),k (Simulated)
9.731829573934837,1.126941191208323,0.659667574289188
9.774436090225564,1.1217426312112158,0.648726825390546
9.81704260651629,1.1173245565967491,0.6379312467630622
9.859649122807017,1.1136031190684352,0.6273431496305971
9.902255639097744,1.110501749452,0.617007400775381
9.94486215538847,1.1079509580515186,0.6069546436560487
9.987468671679197,1.1058880953358443,0.5972041842693171
10.030075187969924,1.1042570233786226,0.587766491686311
10.072681704260651,1.103007707716517,0.5786453010765881
10.115288220551378,1.1020957557766102,0.5698393362602264
10.157894736842104,1.1014819289752449,0.5613436878981405
10.200501253132831,1.1011316513477007,0.5531508934627809
10.24310776942356,1.1010145320140217,0.5452517681060123
10.285714285714285,1.1011039496261832,0.5376355184451673
10.328320802005013,1.1013765502221038,0.5302916747974408
10.370927318295738,1.1018118868386233,0.5232094408085924
10.413533834586467,1.1023921391532079,0.516377474263618
10.456140350877192,1.1031019843477932,0.5097851142458278
10.49874686716792,1.1039277396281975,0.503421237070186
10.541353383458645,1.104857655523184,0.49727546638027237
10.583959899749374,1.105881539010989,0.49133787972264037
10.626566416040099,1.106990567399726,0.4855990453374654
10.669172932330827,1.1081771251804717,0.4800500463503883
10.711779448621552,1.1094346611272048,0.47468249576501775
10.75438596491228,1.1107575631847237,0.4694885449939088
10.796992481203006,1.1121410489361319,0.4644608881368108
10.839598997493734,1.1135810696710058,0.4595927637927432
10.882205513784461,1.1150742262812394,0.4548779558555536
10.924812030075188,1.116617695392072,0.45031079447299066
10.967418546365915,1.1182091642900935,0.44588615813195775
11.010025062656641,1.1198467733375834,0.4415994776546838
11.052631578947368,1.1215290646630944,0.43744674274122286
11.095238095238095,1.1232549359914723,0.43342451156343553
11.137844611528822,1.1250235985221493,0.42952992379612587
11.180451127819548,1.1268345377821083,0.4257607173546259
11.223057644110275,1.1286874763688703,0.42211524898779623
11.265664160401002,1.1305823374587651,0.41859251874423814
11.308270676691729,1.1325192078864892,0.4151921981806399
11.350877192982455,1.134498299504129,0.41191466200751264
11.393483709273182,1.1365199074032306,0.40876102266153186
11.436090225563909,1.1385843634358908,0.40573316704707446
11.478696741854636,1.140691983306903,0.4028337943933077
11.521303258145362,1.142843005339333,0.4000664538174937
11.56390977443609,1.145037518856693,0.39743557975956945
11.606516290726816,1.147275379999106,0.39494652294699667
11.649122807017543,1.1495561127301606,0.3926055739528615
11.69172932330827,1.1518787928371612,0.3904199757176321
11.734335839598996,1.1542419129327406,0.3883979206149513
11.776942355889723,1.1566432268939568,0.38654852676312856
11.81954887218045,1.1590795728990066,0.3848817873399386
11.862155388471177,1.161546675320262,0.3834084856924397
11.904761904761905,1.1640389272834408,0.38214006811456436
11.947368421052632,1.1665491577748774,0.381088465390597
11.989974937343359,1.1690683898217196,0.38026585369791316
12.032581453634085,1.1715855995077054,0.3796843453766783
12.075187969924812,1.1740874894210773,0.37935560057342066
12.117794486215539,1.176558294556183,0.37929035203257483
12.160401002506266,1.1789796437263254,0.37949783757237715
12.203007518796992,1.1813305052637182,0.37998513839239934
12.24561403508772,1.183587252269684,0.3807564269615579
12.288220551378446,1.185723889833228,0.3818121369811802
