Energy (eV),n,k
7.046046,2.052417,1.962306
7.054054,2.041321,1.956601
7.062062,2.030573,1.950688
7.070070,2.020176,1.944585
7.078078,2.010132,1.938309
7.086086,2.000441,1.931877
7.094094,1.991105,1.925305
7.102102,1.982122,1.918609
7.110110,1.973491,1.911805
7.118118,1.965212,1.904908
7.126126,1.957282,1.897932
7.134134,1.949698,1.890891
7.142142,1.942457,1.883800
7.150150,1.935556,1.876672
7.158158,1.928991,1.869518
7.166166,1.922757,1.862353
7.174174,1.916850,1.855187
7.182182,1.911266,1.848033
7.190190,1.905998,1.840901
7.198198,1.901041,1.833802
7.206206,1.896391,1.826747
7.214214,1.892041,1.819745
7.222222,1.887985,1.812807
7.230230,1.884218,1.805940
7.238238,1.880732,1.799155
7.246246,1.877522,1.792460
7.254254,1.874582,1.785863
7.262262,1.871903,1.779372
7.270270,1.869481,1.772995
7.278278,1.867308,1.766740
7.286286,1.865377,1.760613
7.294294,1.863681,1.754622
7.302302,1.862213,1.748773
7.310310,1.860965,1.743073
7.318318,1.859932,1.737528
7.326326,1.859104,1.732144
7.334334,1.858475,1.726928
7.342342,1.858037,1.721884
7.350350,1.857782,1.717019
7.358358,1.857702,1.712336
7.366366,1.857790,1.707843
7.374374,1.858038,1.703542
7.382382,1.858436,1.699440
7.390390,1.858978,1.695540
7.398398,1.859653,1.691847
7.406406,1.860455,1.688365
7.414414,1.861373,1.685098
7.422422,1.862399,1.682049
7.430430,1.863524,1.679221
7.438438,1.864738,1.676619
7.446446,1.866033,1.674244
7.454454,1.867398,1.672099
7.462462,1.868823,1.670188
7.470470,1.870299,1.668511
7.478478,1.871815,1.667070
7.486486,1.873361,1.665867
7.494494,1.874926,1.664903
7.502503,1.876500,1.664179
7.510511,1.878071,1.663694
7.518519,1.879629,1.663449
7.526527,1.881162,1.663443
7.534535,1.882659,1.663674
7.542543,1.884109,1.664142
7.550551,1.885499,1.664844
7.558559,1.886819,1.665777
7.566567,1.888056,1.666938
7.574575,1.889200,1.668323
7.582583,1.890237,1.669928
7.590591,1.891156,1.671747
7.598599,1.891947,1.673775
7.606607,1.892596,1.676006
7.614615,1.893094,1.678431
7.622623,1.893429,1.681044
7.630631,1.893590,1.683835
7.638639,1.893568,1.686796
7.646647,1.893351,1.689915
7.654655,1.892930,1.693183
7.662663,1.892296,1.696589
7.670671,1.891442,1.700119
7.678679,1.890358,1.703761
7.686687,1.889038,1.707502
7.694695,1.887476,1.711329
7.702703,1.885665,1.715226
7.710711,1.883602,1.719178
7.718719,1.881282,1.723171
7.726727,1.878703,1.727188
7.734735,1.875863,1.731214
7.742743,1.872761,1.735233
7.750751,1.869398,1.739228
7.758759,1.865776,1.743183
7.766767,1.861896,1.747082
7.774775,1.857763,1.750909
7.782783,1.853382,1.754648
7.790791,1.848758,1.758284
7.798799,1.843898,1.761802
7.806807,1.838810,1.765187
7.814815,1.833504,1.768426
7.822823,1.827990,1.771505
7.830831,1.822277,1.774413
7.838839,1.816378,1.777137
7.846847,1.810305,1.779668
7.854855,1.804070,1.781995
7.862863,1.797688,1.784110
7.870871,1.791172,1.786005
7.878879,1.784536,1.787675
7.886887,1.777795,1.789113
7.894895,1.770963,1.790315
7.902903,1.764056,1.791278
7.910911,1.757087,1.791999
7.918919,1.750072,1.792478
7.926927,1.743025,1.792714
7.934935,1.735960,1.792709
7.942943,1.728891,1.792463
7.950951,1.721832,1.791979
7.958959,1.714794,1.791262
7.966967,1.707792,1.790314
7.974975,1.700836,1.789141
7.982983,1.693938,1.787748
7.990991,1.687109,1.786142
7.998999,1.680359,1.784328
8.007007,1.673696,1.782314
8.015015,1.667131,1.780107
8.023023,1.660671,1.777716
8.031031,1.654323,1.775146
8.039039,1.648095,1.772408
8.047047,1.641992,1.769509
8.055055,1.636020,1.766457
8.063063,1.630183,1.763262
8.071071,1.624487,1.759930
8.079079,1.618935,1.756471
8.087087,1.613529,1.752893
8.095095,1.608274,1.749205
8.103103,1.603171,1.745414
8.111111,1.598221,1.741528
8.119119,1.593427,1.737555
8.127127,1.588789,1.733504
8.135135,1.584308,1.729380
8.143143,1.579985,1.725193
8.151151,1.575818,1.720948
8.159159,1.571809,1.716653
8.167167,1.567956,1.712314
8.175175,1.564258,1.707938
8.183183,1.560715,1.703531
8.191191,1.557325,1.699100
8.199199,1.554088,1.694649
8.207207,1.551000,1.690186
8.215215,1.548061,1.685714
8.223223,1.545269,1.681241
8.231231,1.542621,1.676770
8.239239,1.540116,1.672307
8.247247,1.537751,1.667857
8.255255,1.535523,1.663423
8.263263,1.533431,1.659012
8.271271,1.531471,1.654626
8.279279,1.529641,1.650269
8.287287,1.527938,1.645947
8.295295,1.526359,1.641662
8.303303,1.524901,1.637419
8.311311,1.523561,1.633220
8.319319,1.522336,1.629069
8.327327,1.521222,1.624969
8.335335,1.520218,1.620922
8.343343,1.519318,1.616933
8.351351,1.518520,1.613002
8.359359,1.517821,1.609133
