omega,n,k
15.193193,0.419895,0.166872
15.207207,0.419819,0.166619
15.221221,0.419750,0.166367
15.235235,0.419686,0.166115
15.249249,0.419629,0.165864
15.263263,0.419578,0.165614
15.277277,0.419532,0.165365
15.291291,0.419493,0.165116
15.305305,0.419459,0.164867
15.319319,0.419431,0.164620
15.333333,0.419408,0.164373
15.347347,0.419391,0.164127
15.361361,0.419379,0.163881
15.375375,0.419373,0.163636
15.389389,0.419372,0.163392
15.403403,0.419377,0.163148
15.417417,0.419386,0.162905
15.431431,0.419401,0.162662
15.445445,0.419420,0.162420
15.459459,0.419445,0.162179
15.473473,0.419474,0.161938
15.487487,0.419509,0.161698
15.501502,0.419548,0.161459
15.515516,0.419592,0.161220
15.529530,0.419640,0.160981
15.543544,0.419693,0.160744
15.557558,0.419751,0.160507
15.571572,0.419813,0.160270
15.585586,0.419879,0.160034
15.599600,0.419950,0.159799
15.613614,0.420026,0.159564
15.627628,0.420105,0.159330
15.641642,0.420189,0.159096
15.655656,0.420277,0.158863
15.669670,0.420369,0.158631
15.683684,0.420465,0.158399
15.697698,0.420565,0.158168
15.711712,0.420669,0.157937
15.725726,0.420777,0.157706
15.739740,0.420889,0.157477
15.753754,0.421005,0.157248
15.767768,0.421124,0.157019
15.781782,0.421247,0.156791
15.795796,0.421374,0.156564
15.809810,0.421504,0.156337
15.823824,0.421639,0.156110
15.837838,0.421776,0.155884
15.851852,0.421917,0.155659
15.865866,0.422062,0.155434
15.879880,0.422210,0.155210
15.893894,0.422361,0.154986
15.907908,0.422516,0.154763
15.921922,0.422674,0.154541
15.935936,0.422835,0.154318
15.949950,0.422999,0.154097
15.963964,0.423167,0.153876
15.977978,0.423338,0.153655
15.991992,0.423512,0.153435
16.006006,0.423688,0.153215
16.020020,0.423868,0.152996
16.034034,0.424051,0.152778
16.048048,0.424237,0.152560
16.062062,0.424426,0.152342
16.076076,0.424618,0.152125
16.090090,0.424812,0.151909
16.104104,0.425010,0.151693
16.118118,0.425210,0.151477
16.132132,0.425413,0.151262
16.146146,0.425618,0.151048
16.160160,0.425827,0.150834
16.174174,0.426037,0.150620
16.188188,0.426251,0.150407
16.202202,0.426467,0.150194
16.216216,0.426686,0.149982
16.230230,0.426907,0.149771
16.244244,0.427131,0.149560
16.258258,0.427357,0.149349
16.272272,0.427586,0.149139
16.286286,0.427817,0.148929
16.300300,0.428050,0.148720
16.314314,0.428286,0.148511
16.328328,0.428524,0.148303
16.342342,0.428765,0.148095
16.356356,0.429007,0.147888
16.370370,0.429252,0.147681
16.384384,0.429500,0.147474
16.398398,0.429749,0.147268
16.412412,0.430000,0.147063
16.426426,0.430254,0.146858
16.440440,0.430510,0.146653
16.454454,0.430768,0.146449
16.468468,0.431028,0.146245
16.482482,0.431290,0.146042
16.496496,0.431554,0.145839
16.510511,0.431820,0.145637
16.524525,0.432088,0.145435
16.538539,0.432358,0.145234
16.552553,0.432630,0.145033
16.566567,0.432904,0.144832
16.580581,0.433179,0.144632
16.594595,0.433457,0.144433
16.608609,0.433736,0.144234
16.622623,0.434017,0.144035
16.636637,0.434300,0.143836
16.650651,0.434585,0.143639
16.664665,0.434872,0.143441
16.678679,0.435160,0.143244
16.692693,0.435450,0.143048
16.706707,0.435741,0.142851
16.720721,0.436035,0.142656
16.734735,0.436330,0.142460
16.748749,0.436626,0.142266
16.762763,0.436925,0.142071
16.776777,0.437224,0.141877
16.790791,0.437526,0.141684
16.804805,0.437829,0.141490
16.818819,0.438133,0.141298
16.832833,0.438439,0.141105
16.846847,0.438747,0.140913
16.860861,0.439056,0.140722
16.874875,0.439366,0.140531
16.888889,0.439678,0.140340
16.902903,0.439991,0.140150
16.916917,0.440306,0.139960
16.930931,0.440622,0.139771
16.944945,0.440940,0.139582
16.958959,0.441259,0.139393
16.972973,0.441579,0.139205
16.986987,0.441901,0.139017
17.001001,0.442224,0.138830
17.015015,0.442548,0.138643
17.029029,0.442873,0.138456
17.043043,0.443200,0.138270
17.057057,0.443528,0.138084
17.071071,0.443857,0.137899
17.085085,0.444188,0.137714
17.099099,0.444520,0.137529
17.113113,0.444852,0.137345
17.127127,0.445187,0.137161
17.141141,0.445522,0.136977
17.155155,0.445858,0.136794
17.169169,0.446196,0.136612
17.183183,0.446534,0.136430
17.197197,0.446874,0.136248
17.211211,0.447215,0.136066
17.225225,0.447557,0.135885
17.239239,0.447900,0.135704
17.253253,0.448244,0.135524
17.267267,0.448589,0.135344
17.281281,0.448936,0.135164
17.295295,0.449283,0.134985
17.309309,0.449631,0.134806
17.323323,0.449980,0.134628
17.337337,0.450330,0.134450
17.351351,0.450682,0.134272
17.365365,0.451034,0.134095
17.379379,0.451387,0.133918
17.393393,0.451741,0.133741
17.407407,0.452096,0.133565
17.421421,0.452451,0.133389
17.435435,0.452808,0.133214
17.449449,0.453166,0.133039
17.463463,0.453524,0.132864
17.477477,0.453884,0.132690
17.491491,0.454244,0.132516
17.505506,0.454605,0.132342
17.519520,0.454967,0.132169
17.533534,0.455329,0.131996
17.547548,0.455693,0.131823
17.561562,0.456057,0.131651
17.575576,0.456422,0.131479
17.589590,0.456788,0.131308
17.603604,0.457155,0.131137
17.617618,0.457522,0.130966
17.631632,0.457891,0.130796
17.645646,0.458260,0.130626
17.659660,0.458629,0.130456
17.673674,0.459000,0.130286
17.687688,0.459371,0.130117
17.701702,0.459743,0.129949
17.715716,0.460115,0.129781
17.729730,0.460488,0.129613
17.743744,0.460862,0.129445
17.757758,0.461237,0.129278
17.771772,0.461612,0.129111
17.785786,0.461988,0.128944
17.799800,0.462364,0.128778
17.813814,0.462741,0.128612
17.827828,0.463119,0.128446
17.841842,0.463497,0.128281
17.855856,0.463876,0.128116
17.869870,0.464256,0.127952
17.883884,0.464636,0.127788
17.897898,0.465016,0.127624
17.911912,0.465398,0.127460
17.925926,0.465779,0.127297
17.939940,0.466162,0.127134
17.953954,0.466545,0.126972
17.967968,0.466928,0.126809
17.981982,0.467312,0.126648
17.995996,0.467697,0.126486
18.010010,0.468082,0.126325
18.024024,0.468467,0.126164
18.038038,0.468853,0.126003
18.052052,0.469240,0.125843
18.066066,0.469627,0.125683
18.080080,0.470015,0.125524
18.094094,0.470403,0.125364
18.108108,0.470791,0.125205
18.122122,0.471180,0.125047
18.136136,0.471569,0.124888
18.150150,0.471959,0.124730
18.164164,0.472349,0.124573
18.178178,0.472740,0.124415
18.192192,0.473131,0.124258
18.206206,0.473523,0.124102
18.220220,0.473915,0.123945
18.234234,0.474307,0.123789
18.248248,0.474700,0.123633
18.262262,0.475093,0.123478
18.276276,0.475486,0.123323
18.290290,0.475880,0.123168
18.304304,0.476274,0.123013
18.318318,0.476669,0.122859
18.332332,0.477064,0.122705
18.346346,0.477459,0.122552
18.360360,0.477855,0.122398
18.374374,0.478251,0.122245
18.388388,0.478647,0.122093
18.402402,0.479044,0.121940
18.416416,0.479441,0.121788
18.430430,0.479839,0.121636
18.444444,0.480236,0.121485
18.458458,0.480634,0.121334
18.472472,0.481032,0.121183
18.486486,0.481431,0.121032
18.500501,0.481830,0.120882
18.514515,0.482229,0.120732
18.528529,0.482628,0.120582
18.542543,0.483028,0.120433
18.556557,0.483428,0.120284
18.570571,0.483828,0.120135
18.584585,0.484229,0.119986
18.598599,0.484630,0.119838
18.612613,0.485031,0.119690
18.626627,0.485432,0.119543
18.640641,0.485833,0.119395
18.654655,0.486235,0.119248
18.668669,0.486637,0.119101
18.682683,0.487039,0.118955
18.696697,0.487441,0.118809
18.710711,0.487844,0.118663
18.724725,0.488247,0.118517
18.738739,0.488650,0.118372
18.752753,0.489053,0.118227
18.766767,0.489457,0.118082
18.780781,0.489860,0.117938
18.794795,0.490264,0.117793
18.808809,0.490668,0.117649
18.822823,0.491072,0.117506
18.836837,0.491476,0.117362
